mturk,List,Condition,Pair.old,itemcode,Pair,Word1,Word2,Word3,Word4,Word5,Word6,Word7,Target,Continuation,good.bad,Target.Freq.Max,Target.Prop,Target.Freq,Notes,Best,Best.Freq,Best.Prop,Second,Second.Freq,Second.Prop,Third,Third.Freq,Third.Prop,Response1,Response2,Response3,Response4,Response5,Response6,Response7,Response8,Response9,Response10,Response11,Response12,Response13,Response14,Response15,Response16,Response17,Response18,Response19,Response20,Response21,Response22,Response23,Response24,Response25,Response26,Response27,Response28,Response29,Response30,Notes.Colin,Notes.orig,good.if.reversed,Target.Freq.Exact.Spelling.And.Form
1,2,g,98,,60,the theater owner,described,which,spectators,the,magician,had,amazed,with his tricks.,g,4,0.133333333,4,,fooled,5,0.178571429,amazed,4,0.142857143,awed,2,0.071428571,amazed,amazed,amazed with his magic,awed,dazzled,keyed in on,fooled,tricked,awed,used in his act,targeted,participate on stage,impressed,brought onto stage,tricked,as patsies,fooled.,wowed,fooled,performed in front of,under his spell,impressed,fooled,performed for.,deceived,fooled,amazed.,hypnotized,captivated,used,good,,n,4
1,1,g,98,,60,the theater owner,described,which,rabbit,the,magician,had,amazed,with his tricks.,b,4,0,0,,pulled,19,0.633333333,made,3,0.1,used,3,0.1,pulled from his hat,pulled from a hat,pulled from his hat,in the hat,pulled out of a hat,pulled out of his hat,ensconced.,pulled from his hat,pulled,in his hat,pulled,pulled out of his hat,pulled out of the hat,made disappear,pulled from his hat,pulled out of a hat,blended,made disappear,pulled from his hat,lost,made disappear,pulled,used,pulled from a hat.,pulled out of his hat,pulled out of the hat,used,pulled out of a hat,pulled from his hat,used,,,n,0
2,1,r,227,49,61,The librarian,documented,which,celebrities,the,journalist,had,interviewed,for the magazine.,g,16,0.533333333,16,,interviewed,16,0.533333333,written,6,0.2,talked,1,0.033333333,talked badly about,interviewed,covered,interviewed,seen,interviewed,written about,interviewed,interviewed ,interviewed.,mentioned,written about.,interviewed,written about.,interviewed,interviewed,recorded,stalked,written about during his career,reported,interviewed,interviewed,written about,interviewed,interviewed,interviewed,fallen in love with,interviewed,written about,interviewed,,,n,16
2,2,r,227,49,61,The librarian,documented,which,journalist,the,celebrities,had,interviewed,for the magazine.,b,16,0,0,,talked,2,0.066666667,read,2,0.066666667,met,2,0.066666667,read,spoken,fled,read,envied,killed,avoided,opened up to,sued,been interviewed by,lynched,avoided,trusted,welcomed,met,been interviewed by.,enjoyed,hit,hated,accosted,ignored,hated,many interviews with,loathed,visited,punched,talked with,met,angered,talked to,,,n,0
2,2,r,228,56,62,the old widower,remembered,which,villager,the,ghost,had,haunted,for many years.,g,14,0.466666667,14,,haunted,14,0.466666667,scared,6,0.2,been,3,0.1,haunted,haunted,scared,haunted,scared,haunted,scared,resembled,haunted,possessed,haunted,visited,visited,scared,haunted,been in life.,haunted,haunted,resembled,spooked,haunted,frightened,been haunting,scared,been,haunted,haunted,haunted,scared,haunted,,,n,14
2,1,r,228,56,62,the old widower,remembered,which,ghost,the,villager,had,haunted,for many years.,b,14,0,0,,seen,16,0.533333333,claimed,2,0.066666667,visited,1,0.033333333,claimed to have seen,seen,seen,exorcised,ran from,said he'd seen,spotted,seen,mentioned,feared would return.,visited,complained of.,embodied,seen.,seen,seen,been frightened by,seen,seen in the graveyard,seen,seen,claimed to see,seen in the field,seen,seen,seen,seen,seen,purged,told stories about,,,n,0
1,4,r,142,,63,the firefighter,reported,which,victim,the,paramedic,had,saved,after the fire.,g,13,0.433333333,13,,saved,13,0.433333333,rescued,4,0.133333333,revived,3,0.1,rescued,saved,rescued,assisted,saved,saved,saved,saved in the ambulance,saved from the accident,revived,saved,revived,saved,brought back to life,revived from unconsciousness,faught,saved,treated,saved,rescued,saved,saved,put on the stretcher,saved,resuscitated ,helped,assisted,resuscitated,rescued,lost,good,,n,13
1,3,r,142,,63,the firefighter,reported,which,paramedic,the,victim,had,saved,after the fire.,b,13,0,0,,been,11,0.366666667,thanked,6,0.2,called,1,0.033333333,called a hero,thanked,thanked,treatment from,been saved by,kissed,thanked,thanked profusely,been saved by,been saved by,thanked,consulted,healed,rescued,help him,needed,seen,been saved by,been rescued by,been cared for by,severe burns,been rescued by,been treated by,been treated by,thanked,to take care of,ran to,been treated by,Struck,been saved by,,,n,0
1,1,r,147,,64,the historian,documented,which,prince,the,assassin,had,killed,in the 10th century.,g,13,0.433333333,13,,killed,13,0.433333333,assassinated,3,0.1,murdered,3,0.1,killed,killed,murdered,murdered,killed,assassinated,murdered,killed,shot,killed,missed,killed,spared,killed,eliminated,planned to kill,assassinated,killed,targeted,killed,become,killed,killed,targeted.,seduced,assasinated,targetted,assassinated,killed,killed,"good, though killing an assassin isn't so bad",,n,13
1,2,r,147,,64,the historian,documented,which,assassin,the,prince,had,killed,in the 10th century.,b,13,0,0,"enough contrast? Also ""had killed"" as in ""had someone kill him""",been,4,0.142857143,executed,4,0.142857143,hired,4,0.142857143,been killed by,captured,thrown into jail,seen,hired,avoided,foiled,thwarted,had executed,secretly hired,contact with,been killed by,executed,succumbed to,hired,executed,defeated.,enlisted,met,executed,hired,been killed by,paid,hired.,evaded,been killed by,executed,arrested,thrown in the dungeon,hired,,,n,0
1,1,r,173,,65,the park ranger,documented,which,eagle,the,hunter,had,shot,with a rifle.,g,13,0.433333333,13,,shot,13,0.433333333,killed,4,0.133333333,captured,2,0.066666667,poached,spotted,captured,killed,saved,shot,shot,killed,shot,lost,found,shot,observed,shot,shot,shot,landed,captured,shot,shot,seen,killed,shot,shot.,spotted,rescued,killed,poached,shot,shot,good,,n,13
1,2,r,173,,65,the park ranger,documented,which,hunter,the,eagle,had,shot,with a rifle.,b,13,0,0,,been,7,0.25,attacked,4,0.142857143,pooped,2,0.071428571,been shot by,attacked,escaped from,scouted,fooled,spotted,hid from,pooped on,observed,been shot by,been circling around,scratched,attacked,been shot by,been shot by with a gun,struck,been shot by.,struck,bitten,defecated on,landed near,as its master,irritated,been shot by.,attacked,buzzed,attacked,pooped on,descended upon,scratched,,,n,0
1,2,r,155,,66,the judo master,recognized,which,defender,the,assailant,had,attacked,late last night.,g,12,0.4,12,,attacked,11,0.392857143,defeated,4,0.142857143,assaulted,2,0.071428571,attacked,assaulted,punched,not defeated,attacked,had knocked out,attacked,attacked,come in contact with,attacked,problems immobilizing,attacked,attacked,attacked,punched,defeated,attacked.,defeated,beaten,assualted,injured,attacked,defeated,attacked.,defeated,beaten up,assailed,assaulted,attacked,conquered,good,,n,12
1,1,r,155,,66,the judo master,recognized,which,assailant,the,defender,had,attacked,late last night.,b,12,0,0,hm enough contrast?,beaten,3,0.1,defeated,3,0.1,accused,2,0.066666667,blocked,fallen victim to,accused,stabbed,overpowered,beat,defeated,beaten,beaten,beat up,beaten,let escape,repelled,defeated,come in contact with,run away from,defended,defeated,injured,disarmed,fought,struck,kicked,overwhelmed.,accused,evaded,disarmed,choked,hit,fought,,,n,0
1,4,r,163,,67,the naturalist,observed,which,predators,the,deer,had,avoided,by sleeping in the daytime.,g,12,0.4,12,,avoided,12,0.4,run,3,0.1,been,2,0.066666667,been chased by,avoided,run away from,avoided,fallen prey to,run from,avoided,avoided to survive,been eaten by,evaded,fled,stalked by,befriended,evaded,avoided without suspicion,have,fear of,outrun,successfully evaded,avoided,avoided,eluded,run from,escaped from,succumbed to,avoided,avoided,avoided,avoided,avoided,pretty good,,n,12
1,3,r,163,,67,the naturalist,observed,which,deer,the,predators,had,avoided,by sleeping in the daytime.,b,12,0,0,,eaten,7,0.233333333,killed,7,0.233333333,attacked,5,0.166666667,targeted for prey,killed,shot,consumed.,attacked,eaten,attacked,killed for sport,eaten,chased,hunted,stalked,attacked,eaten,targeted,shot,attacked,killed,attacked,eaten,eaten,killed,eaten,killed,eaten,to worry about,chosen,killed,Killed,hunted the most,(can change verb to eaten/killed now that it's okay to use verbs three times),,n,0
1,1,r,195,,68,the restaurant owner,forgot,which,customer,the,waitress,had,served,during dinner yesterday.,g,11,0.366666667,11,,served,11,0.366666667,helped,2,0.066666667,offended,2,0.066666667,served,served,served,problems with,helped,helped,served,waited on,waited,as a teacher,insulted,an altercation with,spilled water on,displeased,served,taken an order from,devoured,offended,offended,kissed,slept with ,served,ignored,served.,served,served,served,been rude to,called for,served,good,,n,11
1,2,r,195,,68,the restaurant owner,forgot,which,waitress,the,customer,had,served,during dinner yesterday.,b,11,0,0,,complained,7,0.25,tipped,6,0.214285714,ordered,2,0.071428571,tipped,complained about,complained about,complained about,paid,complained about,tripped,had,tipped,tipped,ordered from,given the tip to,questioned,favored,complained about,not gotten change from,angered.,tipped,ordered,tipped,praised,seen,tipped,complained about.,cheated,complained about,been served by tonight.,requested,tipped,seen,,,n,0
1,1,r,145,,69,the head nun,explained,which,friar,the,temptress,had,seduced,after Sunday mass.,g,10,0.333333333,10,,seduced,10,0.333333333,tempted,3,0.1,corrupted,2,0.066666667,lured,seduced,seduced,picked,corrupted,tempted,liked,seduced,tempted,seduced,seduced,dinner with,seduced,tempted,talked about,attempted to seduce,prayed for,corrupted,seduced,sullied,played pinochle with ,lust,seduced,served.,seduced,seduced,wooed,tried to seduce,?,slept with,not sure about the plausibility contrast; both seem unexpected but more-or-less plausible,,n,10
1,2,r,145,,69,the head nun,explained,which,temptress,the,friar,had,seduced,after Sunday mass.,b,10,0,0,,been,4,0.142857143,fallen,2,0.071428571,seen,2,0.071428571,been in love with,affairs with,talked to,abused,seen,fallen for,avoided,belittled,fallen for,been tempted by,a short fling with,adult relations with,expelled,slept with,an affair with,been alone with,banished.,exiled,swooned,relations with,messed with,converted,befriended,seen.,defiled,been consorting with,met.,excommunicated,abducted,been a victim of,"I don't think so, ""seduced"" implies the friar was intentionally corrupting a temptress. The friar is the one that should be the purer of the two and if someone is already a temptress they can't get seduced.  Erin B. agrees with me that there is a big plausibility contrast.",,n,0
1,3,r,150,,70,the housekeeper,showed,which,mouse,the,cat,had,killed,under the table.,g,10,0.333333333,10,going back on Colin's comment,killed,10,0.333333333,caught,9,0.3,eaten,3,0.1,killed,injured,befriended,caught,caught,killed,caught,captured,tortured,killed,attacked,killed,eaten,caught,caught,missed,killed,killed,eaten,chased,eaten,caught,caught,killed,caught,to eat,killed,killed,Killed,caught,"or ""killed""",,n,0
1,4,r,150,,70,the housekeeper,showed,which,cat,the,mouse,had,killed,under the table.,b,10,0,0,"Erin M. and Cybelle both think ""showed"" is fine, and when we changed it to ""discovered"" people put ""killed"" for both the good and bad versionsÉ",been,4,0.133333333,avoided,2,0.066666667,eluded,2,0.066666667,run away from,escaped,eluded,avoided,been caught by,been trapped by,hated,managed to elude,cornered,jumped on,scared,bitten,chewed,tricked,ran away from,faught,fooled,a close call with,toyed with,toyed with,caught,eluded,been eaten by,annoyed,escaped from,been eaten by,fled,feared,avoided,fooled,"ok; different main verb? -- Why? What's wrong with ""showed""?? ""knew"" or ""discovered"" seem odder to me than ""showed""",,n,9
1,3,r,162,,71,the nanny,knew,which,housekeeper,the,billionaire,had,hired,from their conversation.,g,10,0.333333333,10,,hired,10,0.333333333,fired,3,0.1,paid,3,0.1,been paying extra for shining his shoes,seduced,hired,make his breakfast,liked,abused,hired,hired to oversee the staff,hired,bought off,hired,cleaning,worked for,hired,fired,paid,preferred ,slept with,stolen the jewlery,slept with,hired,paid,paid,willed his fortune to,hired,hired,fired,fired,Married,hired,Colin hasn't checked,,n,10
1,4,r,162,,71,the nanny,knew,which,billionaire,the,housekeeper,had,hired,from their conversation.,b,10,0,0,,worked,9,0.3,been,3,0.1,cleaned,2,0.066666667,been seeing,embezzled,slept with,worked for,worked for,given favors to,swindled,been having an affair with,worked for,slept with,robbed,worked for,cleaned for,worked for,provided service for yearly,cleaned,worked for,worked for,suspected of infidelity,contacted,worked for,gone on vacation with,worked for,conned,been longing to work for,gossiped about,cheated,loved,robbed,known,Colin hasn't checked,,n,0
1,4,r,193,,72,the researcher,learned,which,whale,the,biologist,had,studied,in the lab.,g,10,0.333333333,10,,studied,10,0.333333333,been,4,0.133333333,tagged,4,0.133333333,been studying,encountered,captured,studied,studied,followed,studied,been studying for 5 years,been studying,tagged,researched,been investigating,researched,watched,discovered,studied,studied,tagged,joined the activists,studied,observed,studied,already tagged,tagged,based his theory around,studied,tagged,studied,inseminated,studied,good,,n,10
1,3,r,193,,72,the researcher,learned,which,biologist,the,whale,had,studied,in the lab.,b,10,0,0,,been,6,0.2,eaten,5,0.166666667,attacked,2,0.066666667,bonded with during the encounter,eaten,thanked,been tagged by,followed,killed,splashed,attacked in the ocean,encountered,eaten,stimulated,been seen by,attacked,injured,licked,eaten,befriended,been studied by,eaten,killed,swallowed,avoided,eaten,been studied by,belonged to,tracked,seen,been tagged by,Bit,been tagged by,,,n,0
1,1,r,220,,73,Tracy,announced,which,applicant,the,administrator,had,chosen,after the interview.,g,10,0.333333333,10,chosen(9) + choosen(1),chosen,9,0.3,hired,9,0.3,selected,2,0.066666667,chosen,hired,employed,hired,hired,choosen,reviewed,turned down,chosen,chosen,chosen,chosen,hired,selected,favored,hired,trapped,chosen,chosen,hired,hired,chosen,accepted,awarded the prize to.,denied,selcted for the scholarship,chosen,selected,hired,hired,good,,n,9
1,2,r,220,,73,Tracy,announced,which,administrator,the,applicant,had,chosen,after the interview.,b,10,0,0,,interviewed,3,0.107142857,impressed,2,0.071428571,met,2,0.071428571,an interview with,picked,talked to,fired,seen,advised,questioned,hired,approached,impressed,been looking for,interviewed with,written,filed his application to.,favored,in mind,recieved.,impressed,met,interviewed with,to speak with,spoken to,villified,as a former boss.,petitioned,problems with,met.,interviewed with,applied to see,seen,,,n,0
1,1,r,116,,74,the birthday boy,saw,which,friend,the,clown,had,scared,at the party.,g,9,0.3,9,,scared,9,0.3,tricked,3,0.1,given,2,0.066666667,scared,embarrassed,pranked,danced with,scared,laughed at,pranked,upset,tricked,tricked,hit,scared,scared,entertained,made a balloon for,scared,prayed upon,scared,tricked,tickled,sat upon,scared,chosen,played a trick on.,scared to death,given a balloon,amused,given the most balloons to,scared,been,I'm surprised to see 'scare' with 'clown'.,,n,9
1,2,r,116,,74,the birthday boy,saw,which,clown,the,friend,had,scared,at the party.,b,9,0,0,,been,6,0.214285714,hired,5,0.178571429,laughed,2,0.071428571,been scared of,laughed at,laughed at,seen,seen,hired,played with,hired,been frightened of,been scared of,picked on,chosen,hugged,hired,hit,bought,hired.,liked,punched,been scared of,gotten a balloon from,been scared of,loved,at the party.,punched,been scared of,hired.,feared,hired for his party,hired,"What? Colin who are you?  This explains why you thought ""which child the clown hadÉ"" could be plausibly filled with ""tripped"" --> everyone including me would have expected ""frightened"" or ""scared"" or maybe ""delighted"" except that ""explained"" implies a negative scenario",,n,0
1,1,r,128,,75,the columnist,publicized,which,photographer,the,celebrity,had,punched,in the nose.,g,9,0.3,9,,punched,9,0.3,been,4,0.133333333,hired,2,0.066666667,punched,punched,engaged,pictures taken by,punched,yelled at,punched,used,encountered,punched,punched,taken photos with,been photographed by,kicked,hired for the shoot,slapped,been photographed by,attacked,argued with,punched,punched,liked,dated,banned.,hired,worked with,punched,been sued by,been stalked by,shot.,ok-ish; I'm surprised that this counts as high cloze. Lol American culture,,n,9
1,2,r,128,,75,the columnist,publicized,which,celebrity,the,photographer,had,punched,in the nose.,b,9,0,0,,photographed,10,0.357142857,shot,3,0.107142857,taken,3,0.107142857,photographed,photographed,stalked,seen,shot,photographed,snapped,photographed,scandalized,photographed,taken pictures of,taken the risque photos of,photographed,taken pictures of,sold picture of,dirt on,recorded.,chased,captured,photographed the most,photographed,seen,shot,worked with.,chased,photographed,photographed,shot,gotten into a fight with,photographed,"or flip and use ""punched""","or flip and use ""punched""",n,0
1,2,r,134,,76,the documentarian,showed,which,piglets,the,agriculturalist,had,raised,at the farm.,g,9,0.3,9,"going back to agriculturalist, since people put ""raised"" in the wrong one offline when tried using ""farmer""",raised,9,0.321428571,studied,3,0.107142857,bred,2,0.071428571,separated from the others,slaughtered,raised in the most healthy way,owned,chosen,raised,recorded,bred,cared for,raised,paid special attention too,kept for himself,studied,bred,given a shot,taken care of,raised.,raised,studied,nurtured,raised in the pigstye,raised,destroyed,studied.,eaten,left behind,raised.,raised,chosen to keep,studied,piglets'; can we have something simpler than 'agriculturalists'?,,n,0
1,1,r,134,,76,the documentarian,showed,which,agriculturalist,the,piglets,had,raised,at the farm.,b,9,0,0,,been,9,0.3,liked,2,0.066666667,adopted,1,0.033333333,been examined by,been raised by,delighted,been raised by,followed,been scared by,bitten,ran from,been killed by,liked best,joined,seen.,been raised by,befriended,been kept by,grown attached to,huffed and puffed,attracted,prefered,adopted,been eaten by,eaten,loved,surprised.,been sold to,shown affection,belonged to,the closest bond with,happened,liked,,,n,10
1,4,r,181,,77,the police officer,noted,which,jeweler,the,burglar,had,robbed,on his spree.,g,9,0.3,9,,robbed,9,0.3,stolen,7,0.233333333,targeted,3,0.1,burglarized,burglarized,robbed,stolen from,stolen from,robbed,betrayed,targeted time and time again,targeted,intruded upon,robbed,robbed,robbed,stolen jewelry from,stolen from,stolen,burgled,entered,robbed,scammed,robbed,ransacked,stolen from,stolen from,repeatedly chosen to target,targeted,robbed,robbed,buglarized,burgled,"or switch and use ""identified""","or switch and use ""identified""",n,9
1,3,r,181,,77,the police officer,noted,which,burglar,the,jeweler,had,robbed,on his spree.,b,9,0,0,,identified,10,0.333333333,seen,5,0.166666667,shot,3,0.1,identified using the store surveillance cameras,identified,spotted,been robbed by,identified,shot,identified,identified in the police line up,caught,identified,been robbed by,identified,stolen from,seen,seen on camera,shot,reported,seen,caught on tape,seen,witnessed,bought from,picked out,shot,identified,seen on camera,described,identified,Found,identified,"how about a verb of discovery instead as the main clause verb? I don't know I think ""noted"" is less likely to bias the plausbility of the scenario between conditions than a verb of discovery --> ""discovered which jeweler the burglar had robbed"" doesn't make much sense to me...",,n,0
2,1,r,105,24,78,the royal cook,asked,which,lord,the,chef,had,served,for twenty years.,g,9,0.3,9,,served,9,0.3,cooked,5,0.166666667,poisoned,3,0.1,cooked for,hired,poisoned,served,cooked for,heard talking,prepared a banquet for,served,served,seen in the kitchen.,met,been hired by.,entertained,disappointed.,served,encountered,needed,poisoned,offended with his dish,served,served,served,cooked for,chosen,served,served,cooked for,poisoned,cooked for,invited to dinner,,,n,9
2,2,r,105,24,78,the royal cook,asked,which,chef,the,lord,had,served,for twenty years.,b,9,0,0,,requested,5,0.166666667,hired,5,0.166666667,chosen,5,0.166666667,preferred,requested,apreciated,requested,Cooking tonight,chosen,wanted,chosen,preferred,punished,hired,recommended,preferred,hired,blessed,selected.,chosen,hired,chosen,requested,hired,hired,called for,used,requested,wanted,previously,chosen,requested,complained about,,,n,0
1,2,r,213,,79,the trapeze artist,indicated,which,lion,the,trainer,had,tamed,for the circus.,g,9,0.3,9,,tamed,9,0.321428571,trained,5,0.178571429,been,3,0.107142857,problems with,trained,used in his act,led,tamed,tamed,tamed,trained,mistreated,tamed,issued with training,been attacked by,trained,tamed,just fed,been injured by,tamed.,handled,tamed,in his routine,been afraid of,trained,tamed,trouble with.,whipped,not fed,trained.,tamed,put through his paces,trained,good; but v. similar to another item,,n,9
1,1,r,213,,79,the trapeze artist,indicated,which,trainer,the,lion,had,tamed,for the circus.,b,9,0,0,,eaten,6,0.2,attacked,4,0.133333333,bitten,3,0.1,bitten,mauled,eaten,been familiar with,eaten,been eaten by,preferred,slain,scratched,eaten,cuddled,attacked,mauled,startled,liked most,smacked at,penetrated,bitten,mutilated,eaten,eaten,bitten,eaten,attacked.,annihilated,attacked,attacked,chased,worled with,trained,,,n,0
2,1,r,129,27,80,the wildlife curator,mentioned,which,ape,the,zookeeper,had,fed,some fresh fruit.,g,9,0.3,9,,fed,9,0.3,wanted,1,0.033333333,vaccinated,1,0.033333333,treated poorly,found,fed,taken,pet,already fed,taught sign language,bred,fed,transferred to the new habitat.,owned,recently acquired.,fed,fed.,fed,isolated,fed,put down,wanted for his zoo exhibit,favored,fed,trained,vaccinated,released,fed,fed,set free,kept,inseminated,problems with,,,n,9
2,2,r,129,27,80,the wildlife curator,mentioned,which,zookeeper,the,ape,had,fed,some fresh fruit.,b,9,0,0,hm actually a plausible scenario / doesn't sound that badÉ,attacked,8,0.266666667,liked,3,0.1,hugged,2,0.066666667,attacked,kissed,hugged,hugged,favored,eaten,avoided,beaten,mauled,fingerpainted for,injured,attacked,attacked,hit,beaten,been trained by.,attacked,eaten,attacked,attacked,attacked,followed,killed,liked,attacked,yesterday,liked,biten,liked,trusted,,,n,0
1,1,r,110,,81,the aid worker,realized,which,refugees,the,philanthropist,had,helped,to escape starvation.,g,8,0.266666667,8,,helped,8,0.266666667,saved,5,0.166666667,aided,3,0.1,helped the most,supported,aided,taken,helped,assisted,helped,written about,met,helped,disliked,given supplies to,sent,aided,aided,helped greatly,floored,assisted,saved,helped,patronized,supplied,saved,saved.,saved,saved,helped,rescued,spoken to,helped,good,,n,8
1,2,r,110,,81,the aid worker,realized,which,philanthropist,the,refugees,had,helped,to escape starvation.,b,8,0,0,,been,5,0.178571429,thanked,3,0.107142857,taken,2,0.071428571,contacted,hidden with,met,called,thanked,taken to,inspired,been helped by,taken food from,thanked,associated with,been given the most donations by,praised,received aid from,rescued,been treated by,identified with,thanked,admired,reached out to,benefited most from,been aided by,liked,been saved by.,begged,come to respect,sought shelter from after the storm,known,been talking about,to thank,,,n,0
1,1,r,123,,82,the camper,reported,which,girl,the,bear,had,mauled,in the forest.,g,8,0.266666667,8,,eaten,9,0.3,mauled,8,0.266666667,attacked,6,0.2,eaten,frightened,attacked,attacked,mauled,eaten,attacked,eaten,mauled,eaten,eaten,eaten,attacked,mauled,mauled,attacked,symbolized,mauled,injured,eaten,eaten,mauled,mauled,followed.,been sighted by,scared,mauled,chased,attacked,eaten,good,,n,8
1,2,r,123,,82,the camper,reported,which,bear,the,girl,had,mauled,in the forest.,b,8,0,0,,seen,7,0.25,been,4,0.142857143,shot,3,0.107142857,been attacked by,hid from,run from,killed,seen,been attacked by,seen,been attacked by,screamed at,fled from,aggitated,seen near the campground,seen,been attacked by,shot with a gun,teased,witnessed.,shot,killed,spotted running loose,hidden from,chased,fed,seen.,tamed,shot,seen.,seen,said chased her,seen,,,n,0
1,3,r,130,,83,the dance instructor,noticed,which,onlookers,the,performers,had,impressed,in the audience.,g,8,0.266666667,8,,impressed,8,0.266666667,noticed,3,0.1,danced,2,0.066666667,impressed the most,mesmerized,noticed,smiled,known,touched,entertained,invited to the performance,aroused,impressed,impressed,attracted,noticed,impressed,danced for,amazed,invited,impressed,waved to,noticed,danced for,impressed,spit on,impressed,been privy to,family ties with,captivated,known,Looked for,impressed the most,good,,n,8
1,4,r,130,,83,the dance instructor,noticed,which,performers,the,onlookers,had,impressed,in the audience.,b,8,0,0,,applauded,5,0.166666667,admired,4,0.133333333,enjoyed,3,0.1,in awe,cheered,enjoyed,admired,liked the most,clapped,favored,responded to the most,enjoyed the most,applauded for the most,liked,more of a reaction to,taken to,praised,heckled,watched,overlooked,admired,applauded,applauded,admired,enjoyed,watched closely,been amazed with,been most impressed by,admired,applauded,preferred,applauded,liked,,,n,0
1,2,r,146,,84,the high schooler,heard,which,geek,the,jock,had,bullied,in the hall.,g,8,0.266666667,8,,beaten,9,0.321428571,bullied,8,0.285714286,beat,2,0.071428571,beat up,bullied,tormented,bullied,bullied,beaten,teased,beaten up,beaten up,beaten up,beaten up,beaten up,bullied,beaten up,stole money from,beaten up,bullied.,humiliated,beaten,beat up,asked on a date,made friends with,hit,was dating.,bullied,punched,bullied.,bullied,ridiculed,dated,good; but is there a better main clause verb?,,n,8
1,1,r,146,,84,the high schooler,heard,which,jock,the,geek,had,bullied,in the hall.,b,8,0,0,,punched,4,0.133333333,beat,2,0.066666667,beaten,2,0.066666667,been bullied by,tutored,feared,dated,humiliated,beaten up,fought,punched,hid from,beat in soccer,hit,beaten up,traumatized,insulted,stood up to,been bullied by,slain,a crush on,fought,punched,blown up,punched,hated,ridiculed.,befriended,embarassed,beat up ,run away from,punched,liked,"What are you talking about Colin, the main clause verb is absolutely fine and natural! I'm ignoring this, because ""heard"" is the best verb to use, not because the alternatives are bad, but simply because ""heard"" is just that good.  I refuse to worsen the item on some whim.",meh,n,0
2,2,r,229,50,85,The parent,saw,which,child,the,lifeguard,had,rescued,from the pool.,g,8,0.266666667,8,,saved,21,0.7,rescued,8,0.266666667,warned,1,0.033333333,saved,saved,rescued,saved,saved,rescued,saved,rescued,saved,saved,saved,saved,rescued,rescued,saved,rescued.,warned,saved,saved,saved,saved,saved,saved,rescued,saved,saved,saved,rescued,saved,saved,,,n,8
2,1,r,229,50,85,The parent,saw,which,lifeguard,the,child,had,rescued,from the pool.,b,8,0,0,,been,8,0.266666667,called,3,0.1,seen,2,0.066666667,been saved by,called,called,been saved by,seen,been saved by,been saved by,been rescued by,disrespected,said saved her.,mentioned,waved to.,favored,swam with.,pointed to,troubled,been rescued by,been afraid of,admired,saved,been saved by,disliked,splashed,followed,seen on the beach,called to,a crush on,helped,run to,talked to,,,n,0
1,2,r,196,,86,the ringmaster,recognized,which,cheetah,the,tamer,had,trained,three years ago.,g,8,0.266666667,8,,tamed,8,0.285714286,trained,8,0.285714286,beaten,1,0.035714286,tamed,tamed,taught to fetch toys,trained,tamed,tamed,trained,tamed,been working with,worked with,neclected,the most experience with,tamed,trained.,just fed,beaten,trained.,trained,tamed,under his control,given a sedative to,trained,sold,trained.,chased,failed to feed,tamed,trained,in the cage with him,tamed,"or flip and use ""tamed""","or flip and use ""tamed""",n,8
1,1,r,196,,86,the ringmaster,recognized,which,tamer,the,cheetah,had,trained,three years ago.,b,8,0,0,,attacked,5,0.166666667,eaten,5,0.166666667,obeyed,3,0.1,attacked,mauled,obeyed,practiced with,eaten,eaten,followed,eaten,clawed,eaten,attacked,attacked,been trained by,obeyed,growled at,snarled at,fired,bitten,obeyed,hurt,devored,yearned,bonded with,attacked.,been trained by,attacked,growled at,mauled,eaten,loved,is 'ringmaster' one word?,,n,0
1,1,r,214,,87,the travel agent,recorded,which,innkeeper,the,guests,had,liked,in his notebook.,g,8,0.266666667,8,,liked,8,0.266666667,complained,2,0.066666667,met,2,0.066666667,liked the most,complained about,encountered,fought with,tipped,liked,met,payed,met,contacted,liked,spoken to,liked,hated,liked most,complained about,emulsified,liked,a problem with,liked,booked,coffee,enjoyed,wanted to revisit.,stayed with,requested,praised,complaints about,that day,liked,this isn't non-reversible enough; both are plausible,,n,8
1,2,r,214,,87,the travel agent,recorded,which,guests,the,innkeeper,had,liked,in his notebook.,b,8,0,0,,checked,4,0.142857143,booked,3,0.107142857,given,2,0.071428571,staying with them,served,given the best rooms,checked in,served,recorded,checked in,hosted,bribed,turned away,signed in,secretly videotaped in their rooms,kept,booked,referred,paid,accepted.,booked,reserved,checked in,given free passes to,let a room to,evicted,checked in.,accommodated,ejected from the property,seen,booked,given rooms,seen,"meh.  I disagree with Colin, I think it's a totally bizarre scenario that the travel agent would record which guests the innkeeper had liked. If we followed Colin's advice, we'd have to toss this item; we can't use it unless we put ""liked"" ",meh,n,0
2,1,r,115,25,88,the bird watcher,saw,which,photographer,the,hawk,had,attacked,in the woods.,g,7,0.233333333,7,,attacked,7,0.233333333,landed,2,0.066666667,flown,2,0.066666667,cleverly avoided,hit,landed,photographed,seen,landed near,flown at,attacked,attacked,swooped down on,scared,posed for.,circled,flown towards.,circled,dazzled,attacked,shat upon,been circling,attacked,attacked,avoided,avoided,frightened,clawed,targeted,his eye on,attacked,shot,attacked,,,n,7
